From	To
Q8TCW7	ZPLD1
Q8TBZ3	WDR20
P20618	PSMB1
P35503	UGT1A3
P16422	EPCAM
Q6ZSG2	INSYN2A
Q6UXG8	BTNL9
P30086	PEBP1
P08246	ELANE
Q8TCV5	WFDC5
Q96KC2	ARL5B
Q9NPJ3	ACOT13
A2RUC4	TYW5
Q13671	RIN1
P14209	CD99
O75448	MED24
P23945	FSHR
P47887	OR1E2
Q03181	PPARD
Q6P1R4	DUS1L
P61599	NAA20
Q96K31	C8orf76
P08697	SERPINF2
Q15904	ATP6AP1
Q13112	CHAF1B
P30838	ALDH3A1
P34896	SHMT1
Q6PML9	SLC30A9
P27701	CD82
P61024	CKS1B
Q03111	MLLT1
Q5VZ52	MORN5
Q5THK1	PRR14L
Q02388	COL7A1
Q02543	RPL18A
Q13547	HDAC1
Q6YN16	HSDL2
P11473	VDR
Q68CP4	HGSNAT
Q96AQ6	PBXIP1
Q9NRM0	SLC2A9
P15291	B4GALT1
Q12851	MAP4K2
P30520	ADSS2
Q92541	RTF1
P04798	CYP1A1
P80108	GPLD1
Q96FX7	TRMT61A
Q15428	SF3A2
P00918	CA2
Q9UJA5	TRMT6
Q86VZ4	LRP11
Q86W47	KCNMB4
Q96DZ7	TM4SF19
Q5FWE3	PRRT3
P49902	NT5C2
Q15116	PDCD1
P62508	ESRRG
Q6NSZ9	ZSCAN25
P29466	CASP1
Q99453	PHOX2B
Q92823	NRCAM
A8K5M9	C15orf62
Q8TCT8	SPPL2A
P07355	ANXA2
Q8IXS6	PALM2
Q6ZU52	KIAA0408
P21554	CNR1
P25942	CD40
Q8TB52	FBXO30
Q8N387	MUC15
Q9H2U9	ADAM7
Q8N114	SHISA5
Q96DX4	RSPRY1
Q14563	SEMA3A
Q8N2A8	PLD6
Q2TAA5	ALG11
Q9H0J9	PARP12
Q567V2	MPV17L2
Q92681	RSC1A1
O00408	PDE2A
Q9BQ39	DDX50
O60469	DSCAM
Q6NUN9	ZNF746
Q9P2W6	C11orf21
Q15762	CD226
P21246	PTN
A8MYB1	TMCO5B
P0DMM9	SULT1A3
Q9HCN8	SDF2L1
Q9Y5G5	PCDHGA8
P78337	PITX1
Q5U5Q3	MEX3C
Q5VUY2	AADACL4
Q9BZJ3	TPSD1
Q9UPX0	IGSF9B
Q9P0Z9	PIPOX
Q14767	LTBP2
